date,gross_ret,cost_ret,gross_leverage,n_long,n_short,portfolio_turnover,net_ret,equity,cum_ret
2024-10-09,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-10-10,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-10-11,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-10-14,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-10-15,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-10-16,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-10-17,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-10-18,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-10-21,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-10-22,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-10-23,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-10-24,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-10-25,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-10-28,0.0,0.0,0.0,0,0,0.0,0.0,1189048.8149822985,0.18904881498229842
2024-10-29,0.0,0.0,0.0,0,0,1.0,0.0,1189048.8149822985,0.18904881498229842
2024-10-30,0.016958011541229223,0.0,0.9999999999999999,2,3,0.33333333333333337,0.016958011541229223,1209212.7185098534,0.20921271850985335
2024-10-31,0.007872696194036688,0.0,1.0,2,2,1.0,0.007872696194036688,1218732.4828766466,0.2187324828766466
2024-11-04,0.0,0.0,0.0,0,0,1.0,0.0,1218732.4828766466,0.2187324828766466
2024-11-05,-0.0033983136311650924,0.0,1.0,2,4,1.0,-0.0033983136311650924,1214590.8476673432,0.21459084766734327
2024-11-06,0.0,0.0,0.0,0,0,0.0,0.0,1214590.8476673432,0.21459084766734327
2024-11-07,0.0,0.0,0.0,0,0,0.0,0.0,1214590.8476673432,0.21459084766734327
2024-11-08,0.0,0.0,0.0,0,0,0.0,0.0,1214590.8476673432,0.21459084766734327
2024-11-12,0.0,0.0,0.0,0,0,0.0,0.0,1214590.8476673432,0.21459084766734327
2024-11-13,0.0,0.0,0.0,0,0,0.0,0.0,1214590.8476673432,0.21459084766734327
2024-11-14,0.0,0.0,0.0,0,0,0.0,0.0,1214590.8476673432,0.21459084766734327
2024-11-15,0.0,0.0,0.0,0,0,0.0,0.0,1214590.8476673432,0.21459084766734327
2024-11-18,0.0,0.0,0.0,0,0,0.0,0.0,1214590.8476673432,0.21459084766734327
2024-11-19,0.0,0.0,0.0,0,0,0.0,0.0,1214590.8476673432,0.21459084766734327
2024-11-20,0.0,0.0,0.0,0,0,0.0,0.0,1214590.8476673432,0.21459084766734327
2024-11-21,0.0,0.0,0.0,0,0,0.0,0.0,1214590.8476673432,0.21459084766734327
2024-11-22,0.0,0.0,0.0,0,0,0.0,0.0,1214590.8476673432,0.21459084766734327
2024-11-25,0.0,0.0,0.0,0,0,0.0,0.0,1214590.8476673432,0.21459084766734327
2024-11-26,0.0,0.0,0.0,0,0,0.0,0.0,1214590.8476673432,0.21459084766734327
